cc_upcoming,pp,fb,sd,bid,ibz,cd,dsny,hc,cc,nycongress,sa,ss,nta,zipcode,hd
21,110;115,52;46;49,28;25;24;30,,Astoria,481;404;403;480;407,QW04;QW03;QE07,42;43,25;21,6;14,39;27;35;34,16;11;13,park-cemetery-etc-Queens;Airport;Elmhurst;Corona;North Corona;Jackson Heights;East Elmhurst,11373;11368;11372;11369;11371,Jackson Heights Historic District
22,114;115,45;49,30;7,Steinway Street BID,Astoria,403;401;480,QW01;QW03,42;41;23,26;22,7;14,35;30;36;34;85,59;11;13;12,park-cemetery-etc-Queens;Airport;Woodside;Queensbridge-Ravenswood-Long Island City;Astoria;Steinway;Jackson Heights;Rikers Island;Old Astoria,11377;11101;11106;11102;11103;11105;11370;11369,
23,105;103;107;111,54;50;53;52,29;26,,,412;413;408;411,QE12;QE13;QE08;QE11,44;43,27;23,5;6;3,29;24;33;25;26,14;16;11,Jamaica;Hollis;park-cemetery-etc-Queens;Queens Village;Jamaica Estates-Holliswood;Fresh Meadows-Utopia;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck,11432;11423;11428;11366;11427;11001;11426;11004;11364;11040;11365;11005;11362,
24,102;103;107;112;110,50;52;46,29;28;26;25,,,412;408;406;481,QE12;QE08;QW06,45;44;46;43,27;24;29,5;6,29;32;24;28;39;25;27;35,14;15;16;11;13;12,Jamaica;park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Forest Hills;Rego Park;Jamaica Estates-Holliswood;Fresh Meadows-Utopia,11435;11432;11375;11367;11374;11366;11365,
25,110;108;114;115,46;49,24;30,82nd Street BID,,404;403;402;401,QW04;QW02;QW01;QW03,46;42,25;26;22;21,6;7;14,39;35;30;34,13;12,Elmhurst;Corona;Elmhurst-Maspeth;Woodside;Jackson Heights,11373;11368;11377;11372;11370;11369,Jackson Heights Historic District
26,104;108;114,46;45;49,24;30,Long Island City;Sunnyside Shines,Woodside;Maspeth;Long Island City,405;402;401,QW05;QW02;QW01,42;41,30;26,6;7;14,30;37;36;34,59;12,park-cemetery-etc-Queens;Elmhurst-Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria,11109;11373;11378;11377;11104;11101;11106;11103,Hunters Point Historic District;Sunnyside Gardens Historic District
27,113;105;103,54;50;53,29;28,Sutphin Boulevard BID;180th Street BID;Jamaica Center BID;165th Street BID,Jamaica,412;413,QE12;QE13,45;44,28;27;24,5,29;32;33,10;14;11,Springfield Gardens North;Laurelton;St. Albans;Cambria Heights;South Jamaica;Jamaica;Hollis;Briarwood-Jamaica Hills;Queens Village,11413;11434;11451;11435;11411;11412;11433;11429;11432;11423,Addisleigh Park Historic District;Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
28,106;113;103,51;54;50,27;29;28,Greater JFK,JFK;Jamaica,410;412,QE10;QE12,45;44,32;28;31;27,5,23;31;29;32;24;38,10;14;15,South Ozone Park;Springfield Gardens South-Brookville;Springfield Gardens North;Baisley Park;St. Albans;South Jamaica;Jamaica,11420;11436;11417;11430;11434;11419;11435;11433,
29,106;102;112,51;50;46,27;28,,Jamaica,410;409;482;406,QE10;QW09;QW06,45;46;43,32;28;29,5;6,31;32;24;38;28;27;35,14;15,South Ozone Park;Richmond Hill;park-cemetery-etc-Queens;Kew Gardens;Forest Hills;Rego Park,11417;11419;11418;11416;11421;11415;11375;11374,
30,104;112;110,51;50;46;45,28;24,Myrtle Avenue DMA,Maspeth,405;406;404,QW05;QW06;QW04,46;42;41,30;34;29;25,6;7,38;28;39;30;37,15;12,Ridgewood;Glendale;Forest Hills;Rego Park;Elmhurst;Middle Village;Elmhurst-Maspeth;Maspeth;Hunters Point-Sunnyside-West Maspeth,11385;11374;11373;11379;11378;11377,Ridgewood South Historic District;Central Ridgewood Historic District;Ridgewood North Historic District
