pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
66,42;41;48;40;33,20;21;15;22,,,312,BKS12,31;37;39;35,44;45;40;43;38;39,44;45;40;39;38,9;10,49;45;48;42;44;51,17;22;20;21,Homecrest;Ocean Parkway South;Midwood;Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Borough Park;Sunset Park East,11219;11220;11218;11230;11204;11232,
67,41;38;58,17;18;22;23,,Flatlands/Fairfield,317,BKN17,35;33,45;40;42;41,45;40;42;41,9;8,42;43;58;41;55,20;19;21,Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;East New York;Brownsville,11210;11226;11234;11236;11203;11212,East 25th Street Historic District
68,42;40,20,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID,,310,BKS10,31;39,50;47;43;38,43;38,11;10,64;46;49;51,23;17;26,Dyker Heights;Bay Ridge;Borough Park;Sunset Park East;Sunset Park West;park-cemetery-etc-Brooklyn,11219;11228;11209;11220,Bay Ridge Parkway - Doctors' Row Historic District
69,39;58,19;18,,Flatlands/Fairfield,318;356,BKS18,35;33,45;42;46,45;42;46,9;8,58;59;60,19,Canarsie;Starrett City;park-cemetery-etc-Brooklyn;East New York,11239;11236;11207,
70,41;38;33,20;21;17;22,Flatbush-Nostrand Junction?BID;Church Avenue?BID;Flatbush Avenue?BID,,314,BKS14,39;35,48;44;45;40;39,44;48;45;40,9;10,45;48;42;43;44;41,22;20;21,Midwood;Kensington-Ocean Parkway;Madison;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Borough Park;Flatlands;park-cemetery-etc-Brooklyn,11218;11210;11230;11226;11229,Fiske Terrace-Midwood Park Historic District;Ditmas Park Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District
71,41;38,17;18,,,309,BKN09,36;35;32,40;35;41,40;35;41,9;10,43;44;57;58;55,20,Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North,11226;11225;11203;11213,Melrose Parkside Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District
72,48;40,20;15,Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID,Southwest Brooklyn,307,BKS07,31;39;38;35,47;40;43;38;39,39;38,10,49;44;51,17;20;26,Bay Ridge;Windsor Terrace;Sunset Park East;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,11220;11218;11215;11232,Sunset Park South Historic District;Park Slope Historic District Extension;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District
73,58;44,17;19;18;23;16,East Brooklyn?BID;Pitkin Avenue?BID,Flatlands/Fairfield;East New York,316,BKN16,33;32;34,42;41;37,42;41;37,9;8;7,58;60;55,25;19,Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Brownsville;Ocean Hill,11236;11212;11233,
75,39;51;58;44,19,East Brooklyn?BID,Flatlands/Fairfield;East New York,305;318;356,BKS18;BKN05,35;33;34,42;37,42;37,8;7,59;60;54;55,25;19;18;15,Starrett City;park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Ocean Hill,11239;11208;11207;11233,
76,32,15,Atlantic Avenue BID,Southwest Brooklyn,306,BKS06,38;15,38;39;1,39;38;1;33,10,51;61;52,26,Carroll Gardens-Columbia Street-Red Hook;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;park-cemetery-etc-Manhattan,11217;11231;11201,Carroll Gardens Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension
