zipcode,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,hd
10464,45;47,20;15,11,,,228;212,BX12,24,13,13,14,82,34,park-cemetery-etc-Bronx;Eastchester-Edenwald-Baychester,
10469,45;49;47,20;15,11,,,210;228;211;212,BX10;BX11;BX12,26;24,13;12,13;12,14;15,82;80;83,34;36;33,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville,
10468,52;46;50,27;19,10,Fordham Road?BID,,205;207;208,BX05;BX07;BX08,25;21,16;14;11,14;11,13,80;78;86;81,31;33,Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village,
10463,52;50,19,10,,,207;208,BX07;BX08,17,10,10,13,72,31,Marble Hill-Inwood,
10458,48;52;46,18;27,10,Belmont BID;Fordham Road?BID,,227;206;205;207,BX06;BX05;BX07,25;21,15;14;11,15;11,13;15,80;78;86,33,park-cemetery-etc-Bronx;Norwood;Claremont-Bathgate;Belmont;Fordham South;Bedford Park-Fordham North,Perry Avenue Historic District
10034,34,13,6,,,112,MN12,17,10,10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights North;Marble Hill-Inwood,Park Terrace West-West 217th Street Historic District
10033,33;34,13,6,Washington Heights BID,,112,MN12,17,10,10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights South;Washington Heights North,
10462,43;45;49;52,3;20;18;27,8;11;12;10,Morris Park BID;White Plains Road? BID,Zerega,209;210;211;227,BX09;BX10;BX11,26;21,18;13;15,18;13;15,14;15,87;82;80;78,34;33,Soundview-Castle Hill-Clason Point-Harding Park;Westchester-Unionport;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Pelham Parkway;East Tremont,
10040,34,13,6,,,112,MN12,17,10,10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights North;Marble Hill-Inwood,
10453,52;46,19,9;10,,,205;207,BX05;BX07,25,16;14,16;14,13;15,77;86,31;33,Mount Hope;Fordham South;University Heights-Morris Heights;Kingsbridge Heights,Morris Avenue Historic District
10465,45,20,8;11,Throggs Neck BID,Zerega,210;228,BX10,26;24,13,13,14,82,34,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx,
10464,45,20,11,,,210,,24,13,13,14,82,34,Pelham Bay-Country Club-City Island,
10464,45,20,11,,,210,BX10,24,13,13,14,82,34,Pelham Bay-Country Club-City Island,
10461,45;49,3;20,8;11,Westchester Square;Morris Park BID,Zerega,210;228;211,BX10;BX11,26;24,18;13,18;13,14;15,87;82;80,34;33,Schuylerville-Throgs Neck-Edgewater Park;Westchester-Unionport;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Pelham Parkway,
10457,42;44;48;46,26;17;18;19,9;12;10,,Bathgate,203;204;206;205,BX03;BX04;BX06;BX05,25;21,16;15;14,17;16;15;14,15,77;79;78;86,32;33,park-cemetery-etc-Bronx;East Concourse-Concourse Village;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South,
10460,43;49;42;48;52,20;26;18,11;12;10,Belmont BID,,209;211;227;203;206,BX09;BX11;BX03;BX06,26;22;25;21,17;18;13;15,18;17;15,14;15,85;87;80;79;78,34;32;33,West Farms-Bronx River;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Crotona Park East;East Tremont;Belmont,
10032,30;33,13,6,,,109;112,MN09;MN12,17,9;7;10,7;9;10,13,71;72,30;31,park-cemetery-etc-Manhattan;Hamilton Heights;Washington Heights South,Hamilton Heights/Sugar Hill Northwest Historic District;Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District
10452,44;46,14;17;19,7;9,161st Street?BID,,204;205,BX04;BX05,23;22;25,16;14,8;16;14,15,84;77,29;32;31,West Concourse;Highbridge;Mount Hope;University Heights-Morris Heights,Grand Concourse Historic District
