zipcode,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,hd
11420,106,51;54;50,27;28,,JFK,410,QE10,45,31;28,32;28,5,23;31,10;15,South Ozone Park;Airport,
11417,106,51,27,,,410,QE10,45,32;28;29,32;28,5;7,23;31;24;38,10;15,South Ozone Park;Ozone Park;Richmond Hill,
11215,78;72,48,17;15;13,Park Slope 5th Avenue?BID,Southwest Brooklyn,355;307;306,BKS07;BKS06,36;39;38,38;39,39;38,10,44;51;52,20;26,Windsor Terrace;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,Park Slope Historic District Extension;Park Slope Historic District
11231,,,,,,,,,,,,,,,
11232,66;72,48;40,15,Sunset Park?5th Avenue BID,Southwest Brooklyn,312;307,BKS12;BKS07,39;38,38;39,38,10,51,17;20;26,Sunset Park East;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,
11430,106;113;105,54,27,,JFK,484;410;483;412;413,QE10;QE12;QE13,45;44,31;28,32;28;31,5,31,10,South Ozone Park;Rosedale;Springfield Gardens South-Brookville;park-cemetery-etc-Queens;Airport,
11203,71;67,41;38;58,17;18;22,,Flatlands/Fairfield,309;317,BKN09;BKN17,35;32,45;40;42;41,45;40;41,9,42;43;58;41,20;19;21,Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village,
11239,69;75,39,19,,,305;318;356,BKS18;BKN05,33,42,42,8,60,19,Starrett City;East New York,
11236,69;67;73,58,19;18,,Flatlands/Fairfield,318;356;317;316,BKS18;BKN17;BKN16,33,45;42;46;41,45;42;46;41,9;8,58;59;60,19,Canarsie;Rugby-Remsen Village;East New York;Brownsville,
11220,68;66;72,48;40,20;15,Bay Ridge 5th Avenue?BID;Sunset Park?5th Avenue BID,Southwest Brooklyn,310;312;307,BKS10;BKS12;BKS07,31;39,47;43;38,43;38,11;10,64;49;51,17;26,Dyker Heights;Bay Ridge;Sunset Park East;Sunset Park West,Sunset Park South Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District
10301,122;120,21;22,31,Forest Avenue?BID,,502;501,SI02;SI01,51,50;49,50;49,11,64;63;61,24;23,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Westerleigh;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;New Brighton-Silver Lake;West New Brighton-New Brighton-St. George,St. George / New Brighton Historic District
10303,121,22,31,,Staten Island West Shore;Staten Island North Shore,502;501,SI02;SI01,51,50;49,50;49,11,63;61,24;23,New Springville-Bloomfield-Travis;Port Richmond;Mariner's Harbor-Arlington-Port Ivory-Graniteville,
11234,63;61;67,41;58;33,18;22,,Flatlands/Fairfield,318;356;317,BKS18;BKN17,35,45;46,45;46,9;8,58;59;41,22;19;21,Georgetown-Marine Park-Bergen Beach-Mill Basin;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut,
10302,121,22,31,,Staten Island North Shore,501,SI01,51,50;49,50;49,11,61,24;23,Westerleigh;Port Richmond,
11693,100,47,27;19,,,414;484;356,QE14,45;35,32;42;31,32;42;31,5;8,23;59,10;19,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;park-cemetery-etc-Brooklyn;park-cemetery-etc-Queens,
11209,68,42;40,20,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID,,310,BKS10,31,50;47;38,43,11,64;46;49,23;17;26,Dyker Heights;Bay Ridge,Bay Ridge Parkway - Doctors' Row Historic District
10304,122;120,23;21,31,,,502;501,SI02;SI01,51,50;49,50;49,11,64;63;61,24;23,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;Grasmere-Arrochar-Ft. Wadsworth;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank,St. Paul's Avenue-Stapleton Heights Historic District
10314,123;122;121;120,23;22,31,West Shore BID,Staten Island West Shore,503;502;501,SI03;SI02;SI01,51,51;50;49,51;50;49,11,62;64;63;61,24;23,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis;Westerleigh;Port Richmond;Mariner's Harbor-Arlington-Port Ivory-Graniteville,New York City Farm Colony- Seaview Hospital Historic District
11228,62;68,42;40,20,,,311;310,BKS10;BKS11,31,50;47;38,43,11,47;46;49,23;17;26,Bath Beach;Dyker Heights;Bensonhurst West;park-cemetery-etc-Brooklyn,
11096,101,,27,,,484,,45,31,31,5,31,10,park-cemetery-etc-Queens,
10305,122;120,21,31,,,595;502;501,SI02;SI01,51,50;49,50;49,11,64;63,24;23,New Dorp-Midland Beach;Old Town-Dongan Hills-South Beach;Grasmere-Arrochar-Ft. Wadsworth;Stapleton-Rosebank,
11229,70;63;61,43;33,21;22,Kings Highway?BID,,315;314;318,BKS15;BKS14;BKS18,37;35,48;45;46,48;45;46,9;8,45;59;41,23;22;21,Homecrest;Madison;Georgetown-Marine Park-Bergen Beach-Mill Basin;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,
11214,60;62,42;43,20;21,,,313;311,BKS13;BKS11,31;37,50;47;43;38,47;43;44,11;8,47;46;49;45,23;17,Seagate-Coney Island;Bensonhurst East;Bath Beach;Gravesend;Bensonhurst West,
11691,101,47,27,,,414,QE14,45,31,31,5,23;31,10,Hammels-Arverne-Edgemere;Far Rockaway-Bayswater,
11096,,,,,,,,,,,,,,,
11223,60;62;61,42;43;33,21,Kings Highway?BID,,313;311;315,BKS13;BKS15;BKS11,37,47;48;44;43,47;44;48,11;9;8,47;45,23;17;22,Bensonhurst East;Homecrest;Gravesend,
11693,100,47,27,,,484,,45,32,32,5,23,10,park-cemetery-etc-Queens,
11692,100;101,47,27,,,414,QE14,45,32;31,32;31,5,23;31,10,Hammels-Arverne-Edgemere,
11235,60;61,43;33,21;22,Brighton Beach?BID,,313;315;318;356,BKS13;BKS15;BKS18,37;35,48;46,48;46,8,46;45;59;41,23;22,Brighton Beach;Homecrest;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,
11693,100,47,27,,,414,QE14,45,32;31,32;31,5,23;31,10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;Hammels-Arverne-Edgemere,
10306,122;121,23;21,31,New Dorp BID,,503;595;502,SI03;SI02,51,51;50,51;50,11,62;64;63,24;23,park-cemetery-etc-Staten Island;Great Kills;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach,
11694,100,47,27,,,414;484,QE14,45,32,32,5,23,10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;park-cemetery-etc-Queens,
11224,60,43,21,,,313,BKS13,37,47;48,47;48,8,46;45,23,Seagate-Coney Island;West Brighton,
10308,122;121,23,31,South Shore BID,,503;595,SI03,51,51,51,11,62;64,24,park-cemetery-etc-Staten Island;Great Kills;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,
11697,100,47,27,,,414;484,QE14,45,32,32,5,23,10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;park-cemetery-etc-Queens,
10312,123;122,23,31,South Shore BID,,503;502,SI03;SI02,51,51,51,11,62;64,24,Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;Great Kills;Arden Heights;New Springville-Bloomfield-Travis,
10309,123,23,31,,Rossville,503,SI03,51,51,51,11,62,24,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;New Springville-Bloomfield-Travis,
10307,123,23,31,,,503,SI03,51,51,51,11,62,24,Charleston-Richmond Valley-Tottenville,
10280,1,1,2,,,101,MN01,15,1,1,10,61,27,Battery Park City-Lower Manhattan,
11372,115,46;49,24;30,82nd Street BID,,403,QW03,42,25;21,25;21,6;14,39;30;34,13;12,North Corona;Elmhurst-Maspeth;Jackson Heights,Jackson Heights Historic District
11004,105,53,26,,,413,QE13,43,23,23,3,33;26,11,Glen Oaks-Floral Park-New Hyde Park,
11040,105,53,26,,,413,QE13,43,23,23,3,33;26,11,Glen Oaks-Floral Park-New Hyde Park,
11426,105,53,29;26,,,413,QE13,43,23,23,3,33;26,11,Bellerose;Glen Oaks-Floral Park-New Hyde Park,
11365,107;111;109,53;52,26;25,,,408;411;407,QE08;QE11;QE07,43,24;23;20,24;23;20,6,25;27,16,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Fresh Meadows-Utopia;Queensboro Hill;East Flushing;Auburndale,
11001,105,53,26,,,413,QE13,43,23,23,3,33,11,Glen Oaks-Floral Park-New Hyde Park,
11375,102;112,51;50;46,28;24,,,482;406;481,QW06,46;43,32;29;24,30;29,5;6,28;27;35,14;15;13,park-cemetery-etc-Queens;Kew Gardens;Forest Hills,
11427,105;107;111,54;53,29;26,,,413;408;411,QE13;QE08;QE11,44;43,23,23,5;6;3,24;33;26,11,park-cemetery-etc-Queens;Queens Village;Jamaica Estates-Holliswood;Bellerose;Oakland Gardens,
11374,104;112,50;46,28;24,,,405;406,QW05;QW06,46,32;30;29;24,30;29,6,28;39;35,15;13;12,Glendale;Forest Hills;Rego Park;Middle Village,
11366,107,52,26;25,,,408,QE08,43,24;23,24;23,6,25;27,14;16,Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Fresh Meadows-Utopia,
11423,103;107,54;50,29;26,,Jamaica,412;408,QE12;QE08,44;43,27;23,27;23,5;6,29;24;33,14;11,St. Albans;Jamaica;Hollis;park-cemetery-etc-Queens;Jamaica Estates-Holliswood,
11428,105,54;53,29,,,413,QE13,44;43,23,23,5;3,33,14;11,Queens Village;Bellerose,
11432,103;107,50,29;28;26;25,Jamaica Center BID;165th Street BID,,412;408,QE12;QE08,45;44;43,27;24;23,27;24,5;6,29;32;24;25,14;16;11,Jamaica;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Jamaica Estates-Holliswood,
11379,104,51;46;45,24,,,405,QW05,46,30,30;29,6;7,28;39;30;37,15;12,Ridgewood;Middle Village,
11429,105,54;53,29,,,413,QE13,44,27,27,5,33,14,Cambria Heights;Queens Village,
11435,113;103;107,50,28,Sutphin Boulevard BID;Jamaica Center BID,Jamaica,412;408,QE12;QE08,45;44;43,28;27;24,28;27;24,5;6,32;24;25;27,10;14;11,Baisley Park;South Jamaica;Jamaica;Briarwood-Jamaica Hills;Kew Gardens Hills,
11415,102,51;50,27;28,,,409;482,QW09,45;46,29,29,5,24;28;27,14;15,Richmond Hill;Kew Gardens,
11418,102,51;50,27;28,,Jamaica,409,QW09,45;46,29,32;28;29,5,24;38;28,14;15,Richmond Hill;Kew Gardens,
11433,113;103,54;50,29;28,180th Street BID;Jamaica Center BID,Jamaica,412,QE12,45;44,28;27,28;27,5,29;32,10;14;11,St. Albans;South Jamaica;Jamaica,Addisleigh Park Historic District
11451,103,50,28,,,412,QE12,44,27,27,5,32,14,Jamaica,
11221,79;81;83,57;37;28,13;16;32,,,303;304,BKN03;BKN04,36;32;34,36;41;37;34,36;41;37;34,8;7,54;55;56;53,25;18,Bedford;Bushwick North;Stuyvesant Heights;Bushwick South,Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
11421,75;102,51,27;24,Woodhaven BID,,409,QW09,45;46,32;29,32;30,5;7,38,15,Richmond Hill;Woodhaven,
11419,106;102,51;50,27;28,,,410;409,QE10;QW09,45,28;29,28,5,31;32;24;38,10;15,South Ozone Park;Richmond Hill,
11434,113;105,54;50,27;29;28,Greater JFK,JFK,412;413,QE12;QE13,45;44,31;28;27,28;31;27,5,31;29;32,10;14,Springfield Gardens South-Brookville;Springfield Gardens North;Baisley Park;St. Albans;South Jamaica,Addisleigh Park Historic District
11216,77;79,38;57,17;13,Bed-Stuy Gateway?BID,,308;303,BKN08;BKN03,36;32,35;36,35;36,9;8,43;57;56,20;25,Crown Heights North;Bedford;Clinton Hill;Stuyvesant Heights,Crown Heights North II Historic District;Crown Heights North Historic District;Park Place Historic District;Bedford Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
11416,102,51,27,,,409,QW09,45,32;29,32;28,5;7,23;38,15,Ozone Park;Richmond Hill;Woodhaven,
11233,77;73;81,38;44;37,17;13;23;16,,,308;316;303,BKN08;BKN16;BKN03,32;34,36;41;37,36;41;37,9;8;7,55;56,20;25,Crown Heights North;Ocean Hill;Stuyvesant Heights,Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
10055,,,,,,,,,,,,,,,
10019,18,9,2;3,Times Square BID;5th Avenue BID;Lincoln Square BID,,105;104,MN05;MN04,13;15,4;3;6,4;3;6,12,75;67,28;47,Midtown-Midtown South;Clinton;Lincoln Square,
10111,,,,,,,,,,,,,,,
10153,,,,,,,,,,,,,,,
10154,,,,,,,,,,,,,,,
10152,,,,,,,,,,,,,,,
10115,,,,,,,,,,,,,,,
10022,17;18;19,8;9;10,2,Grand Central Partnership;East Mid-Manhattan BID;5th Avenue BID;Madison Avenue BID,,106;105;108,MN06;MN05;MN08,13,5;4,5;4,12,73,28,Turtle Bay-East Midtown;Lenox Hill-Roosevelt Island;Midtown-Midtown South;Upper East Side-Carnegie Hill,
11370,114,49,7,,,401,QW01,23,22,22,14,85,11,Rikers Island,
10065,19,10,2,East Mid-Manhattan BID;5th Avenue BID;Madison Avenue BID,,108,MN08,13,5;4,5;4,12,76;73,28,Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill,Treadwell Farm Historic District;Upper East Side Historic District Extension;Upper East Side Historic District
10075,19,10,2,Madison Avenue BID,,108,MN08,13,5;4,5;4,12,76;73,28,Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill;Yorkville,Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District
10069,20,9,3,,,107,MN07,15,6,6,12,67,47,Lincoln Square,
10281,1,1,2,,,101,MN01,15,1,1,10,61,27,Battery Park City-Lower Manhattan,
10282,1,1,2,,,101,MN01,15,1,1,10,61,27,Battery Park City-Lower Manhattan,
11211,90;94,31;35;28,14,,North Brooklyn,301,BKN01,30,33;34,33;34,7,50;53,59;18,Williamsburg;North Side-South Side;East Williamsburg,Fillmore Place Historic District
11373,104;112;110;108,46,28;24,82nd Street BID,,405;406;404;402,QW05;QW06;QW04;QW02,46;42,30;25;26;21,30;29;25;21,6;14,39;35;30;34,13;12,Rego Park;Elmhurst;Corona;Elmhurst-Maspeth,
10279,,,,,,,,,,,,,,,
10165,,,,,,,,,,,,,,,
10168,,,,,,,,,,,,,,,
10105,,,,,,,,,,,,,,,
10118,,,,,,,,,,,,,,,
10176,,,,,,,,,,,,,,,
10170,,,,,,,,,,,,,,,
10112,,,,,,,,,,,,,,,
10122,,,,,,,,,,,,,,,
10107,,,,,,,,,,,,,,,
10103,,,,,,,,,,,,,,,
10174,,,,,,,,,,,,,,,
10166,,,,,,,,,,,,,,,
10169,,,,,,,,,,,,,,,
10167,,,,,,,,,,,,,,,
10177,,,,,,,,,,,,,,,
10172,,,,,,,,,,,,,,,
10171,,,,,,,,,,,,,,,
10270,,,,,,,,,,,,,,,
10104,,,,,,,,,,,,,,,
10271,,,,,,,,,,,,,,,
10110,,,,,,,,,,,,,,,
10175,,,,,,,,,,,,,,,
10151,,,,,,,,,,,,,,,
10173,,,,,,,,,,,,,,,
10178,,,,,,,,,,,,,,,
10121,,,,,,,,,,,,,,,
10123,,,,,,,,,,,,,,,
10106,,,,,,,,,,,,,,,
10158,,,,,,,,,,,,,,,
10041,,,,,,,,,,,,,,,
10120,,,,,,,,,,,,,,,
10278,,,,,,,,,,,,,,,
10155,,,,,,,,,,,,,,,
10043,,,,,,,,,,,,,,,
10081,,,,,,,,,,,,,,,
10096,,,,,,,,,,,,,,,
10097,,,,,,,,,,,,,,,
10196,,,,,,,,,,,,,,,
10196,,,,,,,,,,,,,,,
10275,,,,,,,,,,,,,,,
10265,,,,,,,,,,,,,,,
10045,,,,,,,,,,,,,,,
10047,,,,,,,,,,,,,,,
10047,,,,,,,,,,,,,,,
10080,,,,,,,,,,,,,,,
10203,,,,,,,,,,,,,,,
10259,,,,,,,,,,,,,,,
10260,,,,,,,,,,,,,,,
10285,,,,,,,,,,,,,,,
10286,,,,,,,,,,,,,,,
10035,25,12,4,,,111,MN11,12,8,8,13,68,29,park-cemetery-etc-Manhattan,
11371,115,49,30,,Astoria,480,,42,21,21,14,35,11,Airport,
11361,111,53,26,Bayside Village,,411,QE11,43,20;19,20;19,6;3,25;26,16;11,park-cemetery-etc-Queens;Bayside-Bayside Hills,
10036,10;14;18,8;7;9,2,Bryant Park BID;Grand Central Partnership;Hudson Yards/Hell's Kitchen;Garment District;Times Square BID;47th Street BID;5th Avenue BID,,105;104,MN05;MN04,13;15,4;3,4;3,12,75;67,28;47,Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton,
11414,106;75,39;51,27;19,,,484;410;305,QE10;BKN05,45;33,32;42,32;42,5;8;7,23;60,10;19;15,Lindenwood-Howard Beach;East New York,
10310,121;120,22,31,Forest Avenue?BID,Staten Island North Shore,501,SI01,51,50;49,49,11,63;61,24;23,Westerleigh;Port Richmond;New Brighton-Silver Lake;West New Brighton-New Brighton-St. George,
11693,,,,,,,,,,,,,,,
11249,88;90;94,31;35;28,14,,Brooklyn Navy Yards;Greenpoint/Williamsburg,302;301,BKN02;BKN01,36;30,33;34,33;34,7,52;50,25;59;18,Williamsburg;North Side-South Side;park-cemetery-etc-Brooklyn,
10162,,,,,,,,,,,,,,,
10119,,,,,,,,,,,,,,,
