ss,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,nta,zipcode,hd
30,22;24;23;26;28;32;30;25,10;11;16;12;13,3;5;4;6,Columbus Amsterdam BID;125th Street BID,,107;164;109;110;111,MN07;MN09;MN10;MN11,15;16;11;12;17,6;9;7;8,6;7;9;8,12;13,69;70;68;71,park-cemetery-etc-Manhattan;Upper West Side;Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds;Hamilton Heights;East Harlem North,00083;10029;10026;10024;10025;10115;10027;10030;10031;10032;10035;10037;10039,Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District;Mount Morris Park Historic District;Mount Morris Park Historic District Extension;Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District
24,123;122;121;120,23;21;22,31,South Shore BID;New Dorp BID;West Shore BID;Forest Avenue?BID,Rossville;Staten Island West Shore,503;595;502;501,SI03;SI02;SI01,51,51;50;49,51;50;49,11,62;64;63;61,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;park-cemetery-etc-Staten Island;Great Kills;Arden Heights;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;New Springville-Bloomfield-Travis;Grasmere-Arrochar-Ft. Wadsworth;Westerleigh;Grymes Hill-Clifton-Fox Hills;Port Richmond;New Brighton-Silver Lake;West New Brighton-New Brighton-St. George;park-cemetery-etc-Queens,10307;10309;10312;10308;10306;10305;10314;10304;10301;10302;10303;10310,New York City Farm Colony- Seaview Hospital Historic District;St. Paul's Avenue-Stapleton Heights Historic District
17,60;62;68;66;72;61,42;43;41;48;40,20;21;15,Bay Ridge 5th Avenue?BID;Sunset Park?5th Avenue BID,,313;311;310;315;312;307,BKS13;BKS10;BKS15;BKS11;BKS12;BKS07,31;37;39;35,50;47;44;43;38;39,47;43;44;39;38,11;9;10;8,64;47;46;49;45;44;51,Bensonhurst East;Bath Beach;Dyker Heights;Bay Ridge;Gravesend;Kensington-Ocean Parkway;Bensonhurst West;Borough Park;Sunset Park East;Sunset Park West;park-cemetery-etc-Brooklyn,11214;11219;11228;11209;11220;11223;11218;11204;11232,Sunset Park North Historic District
19,100;69;106;75;63;67;73,47;39;51;58;44,17;27;19;18;22;23,East Brooklyn?BID,Flatlands/Fairfield;East New York,410;305;318;356;317;316,QE10;BKS18;BKN17;BKN05;BKN16,45;35;33;34,45;32;42;46;41;37,45;32;42;46;41;37,9;5;8;7,23;58;59;60;54;55,Lindenwood-Howard Beach;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Starrett City;Flatlands;park-cemetery-etc-Brooklyn;Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Brownsville,11693;11239;11414;11208;11234;11236;11207;11212,
25,78;77;79;84;88;75;73;81,38;57;32;31;58;44;37,17;15;13;14;19;23;16,North Flatbush?BID;Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance;Park Slope 5th Avenue?BID;Myrtle Avenue Brooklyn Partnership;East Brooklyn?BID;Pitkin Avenue?BID,Brooklyn Navy Yards;East New York,308;306;302;305;316;303,BKN08;BKS06;BKN02;BKN05;BKN16;BKN03,36;38;33;32;34,35;36;39;33;42;41;37,35;36;39;33;42;41;37,9;10;8;7,44;57;52;54;55;56,Crown Heights North;Prospect Heights;Bedford;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn;Cypress Hills-City Line;Brownsville;Ocean Hill;Stuyvesant Heights;Bushwick South,11217;11238;11216;11206;11201;11251;11205;11207;11212;11233;11221,Fort Greene Historic District;Prospect Heights Historic District;Bedford Historic District;Clinton Hill Historic District;Wallabout Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
26,62;68;78;72;76;84;1;88,42;57;48;40;1;32;31,20;15;13;2,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID;Fulton Area Business (FAB) Alliance;Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership;DUMBO,Southwest Brooklyn,311;310;307;306;101;302,BKS10;BKS11;BKS07;BKS06;MN01;BKN02,31;36;39;38;15,50;47;35;43;38;39;1;33,43;35;39;38;1;33,11;10;7,64;47;46;49;44;57;51;61;52;65,Bath Beach;Dyker Heights;Bay Ridge;Bensonhurst West;Sunset Park East;Sunset Park West;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Battery Park City-Lower Manhattan;Fort Greene;park-cemetery-etc-Manhattan;park-cemetery-etc-Brooklyn,11228;11209;11220;11215;11217;11232;11231;10004;11201,Bay Ridge Parkway - Doctors' Row Historic District;Sunset Park South Historic District;Park Slope Historic District Extension II;Brooklyn Academy of Music Historic District;Fort Greene Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Governors Island Historic District;Carroll Gardens Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;DUMBO Historic District;Fulton Ferry Historic District
32,40;41;43;42;44;48;46,14;3;20;26;17;18;19,7;8;9;12;10,161st Street?BID;Southern Boulevard?BID,Hunts Point;Bathgate,201;202;209;203;204;206;205,BX01;BX02;BX09;BX03;BX04;BX06;BX05,23;26;22;25,8;17;18;16;15;14,8;18;17;16;15;14,14;15,85;87;84;77;79;78;86,Hunts Point;Longwood;Soundview-Bruckner;West Farms-Bronx River;park-cemetery-etc-Bronx;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Mount Hope;Claremont-Bathgate;East Tremont,10474;10451;10455;10472;10459;10456;10452;10460;10457,Grand Concourse Historic District;Longwood Historic District;Longwood Historic District Extension;Morris High School Historic District;Clay Avenue Historic District
33,49;48;52;46;50;47,20;15;18;27;19,11;9;12;10,Morris Park BID;White Plains Road? BID;Jerome-Gun Hill?BID;Belmont BID;Fordham Road?BID,,209;211;227;206;205;207;208;226;212,BX09;BX11;BX06;BX05;BX07;BX08;BX12,26;24;25;21,13;15;14;11,13;15;14;11,14;13;15,87;82;80;77;78;86;81,West Farms-Bronx River;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Norwood;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,10461;10462;10469;10467;10460;10457;10458;10453;10468;10463;10471;10470,Morris Avenue Historic District;Perry Avenue Historic District;Fieldston Historic District;Riverdale Historic District
29,19;23;114;25;40;41;43;42;44,10;12;14;3;26;17,2;5;4;7;8;9,161st Street?BID;HUB/3rd Avenue?BID,Hunts Point;Port Morris,108;111;201;202;209;203;204,MN08;MN11;BX01;BX02;BX09;BX03;BX04,13;12;23;26;22;25,5;9;8;17;18;16,5;4;9;8;18;17;16;14,12;14;13;15,76;73;68;85;84;77;79,park-cemetery-etc-Manhattan;Yorkville;East Harlem South;East Harlem North;Mott Haven-Port Morris;Hunts Point;Longwood;Soundview-Castle Hill-Clason Point-Harding Park;park-cemetery-etc-Bronx;Melrose South-Mott Haven North;East Concourse-Concourse Village;West Concourse;Highbridge,10128;10029;10474;10035;10451;10454;10455;10473;10456;10452,Expanded Carnegie Hill Historic District;Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District;Grand Concourse Historic District;Manida Street Historic District
34,43;45;49;47,3;20;15;18,8;11;12,Throggs Neck BID;Westchester Square;Morris Park BID,Zerega;Eastchester,209;210;228;211;212,BX09;BX10;BX11;BX12,26;24,17;18;13,18;13,14;15,85;87;82;80;83,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway,10473;10464;10472;10461;10462;10465;10475;10469;10460,
28,17;13;10;14;18;19;22;114,8;6;7;9;10;45,2;3,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;14th Street BID;Flatiron/23rd Street Partnership;34th Street BID;Garment District;Times Square BID;47th Street BID;5th Avenue BID;Madison Avenue BID,,106;105;104;108;164,MN06;MN05;MN04;MN08,14;13;15;12,5;4;2;3;6;8,2;5;4;3;6,10;12,74;76;73;66;75;67;68,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Lenox Hill-Roosevelt Island;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Upper East Side-Carnegie Hill;park-cemetery-etc-Manhattan;Yorkville,10010;10016;10178;10044;10168;10174;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10176;10171;10196;10022;10155;10065;10003;10011;10001;10118;10120;10121;10119;10123;10122;10018;10036;10097;10019;10154;10152;10020;10111;10055;10112;10103;10104;10105;10151;10153;10106;10107;10021;10075;00083;10162;10028;10128,Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;Treadwell Farm Historic District;Ladies' Mile Historic District;Madison Square North Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District
59,90;94;17;13;14;108;114,35;8;4;6;28;45;49,14;2;30,Long Island City;Grand Central Partnership;14th Street BID;Flatiron/23rd Street Partnership,Greenpoint/Williamsburg;North Brooklyn;Long Island City,301;106;105;402;401,BKN01;MN06;MN05;QW02;QW01,30;14;13;41,33;4;2;34;26;22,33;2;4;34;26;22,10;12;7;14,50;74;73;53;37;36;34,Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;North Side-South Side;Turtle Bay-East Midtown;Greenpoint;Gramercy;park-cemetery-etc-Queens;Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria;Steinway;Old Astoria,11249;11211;10009;10010;11109;10016;10158;11222;10017;10003;11101;11106;11102;11103;11105,Fillmore Place Historic District;Greenpoint Historic District;Eberhard Faber Pencil Company Historic District;Tudor City Historic District;Hunters Point Historic District;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District
22,62;70;66;63;61,42;43;41;48;40;58;33,20;21;15;22,Kings Highway?BID,,311;315;314;312;318;356,BKS15;BKS14;BKS11;BKS12;BKS18,31;37;39;35,47;48;44;45;40;43;38;39;46,47;44;48;45;39;38;46,9;10;8,47;49;45;48;42;44;51;59;41,Bensonhurst East;Brighton Beach;Homecrest;Ocean Parkway South;Midwood;Gravesend;Madison;Flatbush;Bensonhurst West;Borough Park;Sunset Park East;Georgetown-Marine Park-Bergen Beach-Mill Basin;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,11219;11223;11218;11210;11230;11204;11234;11235;11229,
23,122;60;62;121;68;120;61,21;22;42;43;33,31;20;21;22,Forest Avenue?BID;Brighton Beach?BID,Staten Island West Shore;Staten Island North Shore,595;502;313;311;310;501;315,SI02;BKS13;BKS10;SI01;BKS15;BKS11,51;31;37,50;47;49;48;46,50;47;43;49;48;46,11;8,64;47;63;46;45;61;41,Old Town-Dongan Hills-South Beach;Seagate-Coney Island;Bensonhurst East;Grasmere-Arrochar-Ft. Wadsworth;Bath Beach;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;Bay Ridge;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George;Brighton Beach;West Brighton;Gravesend;Bensonhurst West;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,10306;10305;10314;11224;10304;11214;11228;11209;10301;10302;10303;10310;11223;11235;11229,St. Paul's Avenue-Stapleton Heights Historic District;St. George / New Brighton Historic District
